date,pnl_ADVANC.BK,eq_ADVANC.BK,pnl_AOT.BK,eq_AOT.BK,pnl_AWC.BK,eq_AWC.BK,pnl_BANPU.BK,eq_BANPU.BK,pnl_BBL.BK,eq_BBL.BK,pnl_BCP.BK,eq_BCP.BK,pnl_BDMS.BK,eq_BDMS.BK,pnl_BEM.BK,eq_BEM.BK,pnl_BH.BK,eq_BH.BK,pnl_BJC.BK,eq_BJC.BK,pnl_BTS.BK,eq_BTS.BK,pnl_CBG.BK,eq_CBG.BK,pnl_CCET.BK,eq_CCET.BK,pnl_COM7.BK,eq_COM7.BK,pnl_CPALL.BK,eq_CPALL.BK,pnl_CPF.BK,eq_CPF.BK,pnl_CPN.BK,eq_CPN.BK,pnl_CRC.BK,eq_CRC.BK,pnl_DELTA.BK,eq_DELTA.BK,pnl_EGCO.BK,eq_EGCO.BK,pnl_GPSC.BK,eq_GPSC.BK,pnl_HMPRO.BK,eq_HMPRO.BK,pnl_IVL.BK,eq_IVL.BK,pnl_KBANK.BK,eq_KBANK.BK,pnl_KKP.BK,eq_KKP.BK,pnl_KTB.BK,eq_KTB.BK,pnl_KTC.BK,eq_KTC.BK,pnl_LH.BK,eq_LH.BK,pnl_MINT.BK,eq_MINT.BK,pnl_MTC.BK,eq_MTC.BK,pnl_OR.BK,eq_OR.BK,pnl_OSP.BK,eq_OSP.BK,pnl_PTT.BK,eq_PTT.BK,pnl_PTTEP.BK,eq_PTTEP.BK,pnl_PTTGC.BK,eq_PTTGC.BK,pnl_RATCH.BK,eq_RATCH.BK,pnl_SCC.BK,eq_SCC.BK,pnl_SCGP.BK,eq_SCGP.BK,pnl_TCAP.BK,eq_TCAP.BK,pnl_TISCO.BK,eq_TISCO.BK,pnl_TOP.BK,eq_TOP.BK,pnl_TRUE.BK,eq_TRUE.BK,pnl_TTB.BK,eq_TTB.BK,pnl_TU.BK,eq_TU.BK,pnl_VGI.BK,eq_VGI.BK,pnl_WHA.BK,eq_WHA.BK,port_pnl,port_eq
1970-01-01 00:00:00.000000442,0.999,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.997001,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0009989999999998,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,254.85010998505575,-1.0,-0.0,-1.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0009989999999998,0.999,-0.0,-0.0,-0.0,0.0,0.0,0.19560869565217393,0.013491777407479557
1970-01-01 00:00:00.000000443,-0.001,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.997001,-0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,-1.0,-0.0,0.0,0.0,-0.001,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,254.85010998505575,-1.0,-0.0,-1.0,-0.0,0.0,0.0,-1.001,0.0,-0.0,0.0,0.0,-0.0,-1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0009989999999998,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.043413043478260874,0.014077496526669486
1970-01-01 00:00:00.000000444,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.997001,0.0,1.0,-0.0,0.0,0.999,0.0,-0.0,0.0,-0.0,-0.0,0.999,0.0,1.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,254.85010998505575,1.0,-0.0,1.0,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.0,-1.0,0.0,-0.0,0.0,-0.001,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0009989999999998,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.23906521739130435,0.01744293629414306
1970-01-01 00:00:00.000000445,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.999,-0.0,0.0,-0.0,0.0,1.997001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.999,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,-0.001,-0.0,0.999,-0.0,0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,254.85010998505575,1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0009989999999998,1.0,-0.0,0.0,-0.0,0.0,0.0,0.36947826086956526,0.023887722060561657
1970-01-01 00:00:00.000000446,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0,1.997001,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.001,0.0,1.0,0.0,1.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,254.85010998505575,1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0009989999999998,-1.0,-0.0,0.0,-0.0,0.0,0.0,0.30432608695652175,0.031157379041557364
1970-01-01 00:00:00.000000447,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,1.997001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-1.0,0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,-0.001,-0.0,1.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,0.999,-0.0,-0.001,-0.0,-0.0,-0.0009989999999998,-0.0,0.0,-0.0,-0.0,-0.001,-0.0,-0.0,254.85010998505575,-1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,-1.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0009989999999998,1.0,-0.0,0.0,-0.0,0.0,0.0,0.17382608695652174,0.036573344320172424
1970-01-01 00:00:00.000000448,-1.001,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,-0.0,-0.0,1.997001,0.0,1.0,0.0,0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-1.0,0.0,0.999,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,-1.001,0.0,-0.0,-0.0009989999999998,-0.0,0.0,-0.0,-0.0,0.999,-0.0,0.0,254.85010998505575,-1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-1.001,0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,-0.001,-0.0,1.0,-0.0,-0.0,-0.0009989999999998,1.0,-0.0,0.0,-0.0,0.0,0.0,0.08682608695652175,0.03974886469440653
1970-01-01 00:00:00.000000449,-1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,-0.0,1.997001,-0.0,1.0,0.0,0.0,-0.001,0.0,-0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.001,0.0,-0.001,0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,1.0,0.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,-1.0,0.0,-0.0,-0.0009989999999998,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,254.85010998505575,-1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.001,-0.0,-0.0,-0.0009989999999998,1.0,-0.0,0.0,-0.0,-0.0,0.0,-0.02184782608695651,0.03888043841140917
1970-01-01 00:00:00.000000450,-1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,1.997001,0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,-0.001,0.0,-1.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,-1.0,0.0,-0.0,-0.0009989999999998,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,-0.0,254.85010998505575,-1.0,-0.0,-1.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0009989999999998,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.21741304347826085,0.030427323964615623
1970-01-01 00:00:00.000000451,-1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.997001,0.0,1.0,0.0,0.0,0.999,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-0.0,-0.0,-0.0,0.0,0.999,0.0,0.0,1.0,0.0,0.0,-1.001,0.0,1.0,0.0,-1.0,-0.0,0.0,0.0,-0.0,-0.0,-1.0,-0.0,-1.0,0.0,-0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,254.85010998505575,1.0,-0.0,-1.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-1.001,0.0,0.0,-0.0009989999999998,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.043565217391304346,0.029101750981461498
1970-01-01 00:00:00.000000452,-0.001,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.997001,0.0,1.0,-0.0,0.0,1.0,0.0,-1.001,-0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0,-0.0,0.0,-0.001,0.0,0.0,1.0,-0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-0.0,-0.0,0.0,0.0,-0.0,-1.0,-0.0,-1.0,0.0,-0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,-1.0,-0.0,0.0,254.85010998505575,1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0009989999999998,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.02167391304347826,0.02973249980164665
1970-01-01 00:00:00.000000453,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.997001,0.0,1.0,-0.0,0.0,1.0,0.0,-0.001,-0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,-1.0,0.0,-1.0,0.0,-0.001,-0.0,-0.0,0.0,-0.0,-0.0,-0.001,-0.0,-1.0,0.0,-0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,-1.0,-0.0,0.0,254.85010998505575,1.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0009989999999998,1.0,-0.0,-0.0,-0.0,-0.0,0.0,-6.521739130434064e-05,0.02973056072557263
1970-01-01 00:00:00.000000454,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.001,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.997001,0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.001,0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.0,0.0,-0.0,-0.0009989999999998,-0.0,0.0,0.0,-0.0,-1.0,-0.0,-0.0,254.85010998505575,-1.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0009989999999998,-1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.04352173913043478,0.02843663501747271
1970-01-01 00:00:00.000000455,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.001,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.997001,0.0,1.0,-0.0,0.0,-0.001,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0009989999999998,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,254.85010998505575,1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0009989999999998,-1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.1303913043478261,0.03214452494866404
1970-01-01 00:00:00.000000456,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.997001,0.0,1.0,-0.0,0.0,0.0,0.0,-1.001,0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0009989999999998,0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,254.85010998505575,1.0,-0.0,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.0,0.0,-0.0009989999999998,-1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.1521521739130435,0.03703538429900534
