Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CBG.BK,CBG.BK,CBG.BK,CBG.BK,CBG.BK,CBG.BK
Date,,,,,,
2021-07-16,144.78192138671875,154.0,154.5,151.0,151.5,3040100
2021-07-19,142.4315643310547,151.5,154.0,151.0,152.0,4366400
2021-07-20,142.4315643310547,151.5,153.0,149.5,150.5,4514900
2021-07-21,142.4315643310547,151.5,154.0,151.0,152.0,2599000
2021-07-22,142.4315643310547,151.5,152.5,150.0,152.0,3053000
2021-07-23,142.4315643310547,151.5,156.0,150.0,153.0,5725600
2021-07-27,140.08119201660156,149.0,151.5,148.0,151.0,3397200
2021-07-29,136.7907257080078,145.5,151.0,144.5,148.5,5876200
2021-07-30,136.32061767578125,145.0,148.0,143.5,145.5,5588800
2021-08-02,135.3804931640625,144.0,148.0,143.0,145.5,3520600
2021-08-03,139.14105224609375,148.0,148.0,144.5,144.5,3906500
2021-08-04,134.44033813476562,143.0,148.0,141.5,148.0,5605000
2021-08-05,131.1498565673828,139.5,144.0,139.0,143.0,6946800
2021-08-06,132.56005859375,141.0,141.0,137.0,140.0,4211400
2021-08-09,130.67979431152344,139.0,141.0,138.0,141.0,4870100
2021-08-10,132.0900115966797,140.5,141.0,139.0,140.5,4417500
2021-08-11,130.209716796875,138.5,141.5,137.5,140.5,3099500
2021-08-13,129.2695770263672,137.5,139.5,136.0,138.5,3223500
2021-08-16,126.44914245605469,134.5,142.0,128.5,138.5,21541400
2021-08-17,126.9192123413086,135.0,136.5,133.5,136.0,6850200
2021-08-18,125.03892517089844,133.0,135.5,131.5,135.0,6071400
2021-08-19,124.56886291503906,132.5,135.0,130.0,132.0,11448700
2021-08-20,122.68856048583984,130.5,134.0,129.0,133.0,6876500
2021-08-23,124.09879302978516,132.0,132.0,129.5,131.5,6402300
2021-08-24,128.32943725585938,136.5,137.5,133.0,133.5,12729300
2021-08-25,127.38929748535156,135.5,138.0,132.0,137.0,14164300
2021-08-26,128.32943725585938,136.5,137.5,134.5,136.0,7740000
2021-08-27,129.18118286132812,136.5,136.5,134.5,135.0,4312100
2021-08-30,131.07394409179688,138.5,139.5,135.5,136.5,5711300
2021-08-31,132.49349975585938,140.0,140.5,138.5,139.0,7460700
2021-09-01,128.23480224609375,135.5,140.5,135.0,140.0,7938500
2021-09-02,128.23480224609375,135.5,137.0,135.0,137.0,5639600
2021-09-03,127.28840637207031,134.5,136.5,134.0,136.0,2085800
2021-09-06,125.86882781982422,133.0,136.0,133.0,136.0,6198500
2021-09-07,121.13692474365234,128.0,133.5,128.0,132.0,16222200
2021-09-08,122.55650329589844,129.5,130.0,128.0,128.5,4215900
2021-09-09,120.66374206542969,127.5,131.0,127.5,130.0,5487000
2021-09-10,123.02969360351562,130.0,130.5,127.5,128.0,4121000
2021-09-13,123.02969360351562,130.0,130.0,127.5,129.0,4734900
2021-09-14,122.55650329589844,129.5,131.5,129.0,129.0,5406300
2021-09-15,122.55650329589844,129.5,130.0,128.0,129.5,3512500
2021-09-16,122.55650329589844,129.5,130.5,128.5,130.0,1917600
2021-09-17,122.08331298828125,129.0,130.5,128.5,129.5,3134000
2021-09-20,119.24415588378906,126.0,129.0,126.0,128.5,3882800
2021-09-21,120.19054412841797,127.0,128.5,125.5,127.0,4604400
2021-09-22,119.71734619140625,126.5,127.5,126.0,126.5,2747700
2021-09-23,119.24415588378906,126.0,127.5,125.5,127.0,3382000
2021-09-27,117.35139465332031,124.0,126.5,123.0,126.5,3408100
2021-09-28,115.45863342285156,122.0,125.0,121.5,124.5,5038200
2021-09-29,116.8781967163086,123.5,125.0,121.0,121.5,3871700
2021-09-30,113.56587982177734,120.0,124.5,118.5,124.0,11496200
2021-10-01,112.14628601074219,118.5,121.0,118.0,118.5,7731900
2021-10-04,111.67310333251953,118.0,120.0,117.0,119.0,6755100
2021-10-05,112.6194839477539,119.0,120.0,117.5,117.5,6585600
2021-10-06,112.6194839477539,119.0,120.0,118.0,119.0,5543400
2021-10-07,115.45863342285156,122.0,123.0,119.0,119.0,9908300
2021-10-08,115.93181610107422,122.5,124.5,121.5,123.5,10529800
2021-10-11,114.98544311523438,121.5,123.0,120.5,122.5,4908000
